File Path                                           | Model
---------------------------------------------------|---------------------------------------------
./backend/src/agents/grader_agent/agent.py        | gemini-2.0-flash
./backend/src/agents/info_agent/agent.py          | gemini-2.5-flash-lite-preview-06-17
./backend/src/agents/tester_agent/agent.py        | gemini-2.5-flash
./backend/src/agents/tester_agent/agent.py        | gemini-2.5-flash
./backend/src/agents/planner_agent/agent.py       | gemini-2.5-flash-lite-preview-06-17
./backend/src/agents/html_agent/agent.py          | gemini-2.5-flash-preview-05-20
./backend/src/agents/flashcard_agent/testing_agent.py  | gemini-2.5-pro
./backend/src/agents/flashcard_agent/learning_agent.py | gemini-2.5-pro
./backend/src/agents/explainer_agent/agent.py     | gemini-2.5-pro
./backend/src/agents/image_agent/agent.py         | gemini-2.5-flash-lite-preview-06-17
./backend/src/agents/chat_agent/agent.py          | gemini-2.5-flash-preview-05-20
./backend/test/tests.py                            | gemini-2.0-flash
